USNM 348460,61.5,67.77,A1-A2,Yorktown
USNM 348461,76.6,76.31,a1-a2,Yorktown
USNM 348462,73.92,81.25,l1-l3,Yorktown
USNM 348466,53.16,62.72,l2-l5,Yorktown
USNM 348471,47.65,57.34,a1-a2,Yorktown
USNM 348472,70.27,81.37,l1-l4,Yorktown
USNM 348512,82.61,89.83,L1-L5,Yorktown
USNM 348514,68,75.91,L1-L4,Yorktown
USNM 348515,74.23,72.63,L1-L5,Yorktown
USNM 348516,52.4,52.7,a1-a3,Yorktown
USNM 348517,72.78,74.19,l1-l3,Yorktown
USNm 348521,48.83,57.1,A1-A2,Yorktown
USNM 348524,57.85,59.98,A1-A2,Yorktown
USNM 348525,62.73,57.39,a1-a3,Yorktown
USNM 348530,55.57,50.19,l1-l3,Yorktown
USNM 348532,61.28,55.4,a1-a3,Yorktown
USNM 348535,60.42,58.7,L1-L3,Yorktown
USNM 348540,69.64,72.44,A1-L1,Yorktown
USNM 350928,66.76,63.36,a1-a3,Yorktown
USNM 350929,62.92,69.23,L1-L3,Yorktown
USNM 350932,66.91,71.4,L1-L2,Yorktown
USNM 350935,46,65.43,"L4-L5, l4-l5",Yorktown
USNM 350936,63.5,73.24,L1-L3,Yorktown
USNM 350939,67.82,73.48,a1-a3,Yorktown
USNM 350940,80.43,85.39,A2-L2,Yorktown
USNM 350941,73.22,89.42,A1-A2,Yorktown
USNM 350942,81.34,86.35,L1-L5,Yorktown
USNM 350991,79.9,81.67,a1-a3,Yorktown
USNM 350992,67.87,77.84,L1-L3,Yorktown
USNM 350993,79.69,79.13,L1-L3,Yorktown
USNM 350994,83.53,72.3,a1-a3,Yorktown
USNM 350995,84.28,83.7,A2-L1,Yorktown
USNM 350996,71.54,97.84,L1-L5,Yorktown
USNM 350997,84.86,82.53,a1-a2,Yorktown
USNM 351100,85.93,81.07,l1-l2,Yorktown
USNM 353735,82.09,87.49,A1-A2,Yorktown
USNM 353738,82.43,83.52,A1-A2,Yorktown
USNM 355714,64.71,76.76,L1-L5,Yorktown
USNM 355715,77.48,79.07,A2-L1,Yorktown
USNM 355716,69.37,73.64,A1-A2,Yorktown
USNM 355718,78.17,81.38,L1-L5,Yorktown
USNM 355726,90.02,82.6,a1-a2,Yorktown
USNM 355728,65.23,87.93,L3-L5,Yorktown
USNM 355736,70.04,72.66,L1-L3,Yorktown
USNM 355740,71.5,72.81,L1-L5,Yorktown
USNM 355742,69.56,74.32,A1-A2,Yorktown
USNM 355743,68.93,83.6,L1-L4,Yorktown
USNM 355746,73.15,81.26,l1-l4,Yorktown
USNM 355749,76.65,90.75,l1-l3,Yorktown
USNM 355752,72.04,70.83,a1-a3,Yorktown
USNM 355756,66.84,75.23,A1-A2,Yorktown
USNM 355760,74.88,92.57,A1-A2,Yorktown
USNM 355761,72.35,84.9,L1-L4,Yorktown
USNM 355763,69.28,76.37,l1-l3,Yorktown
USNM 355767,72.81,82.73,L1-L3,Yorktown
USNM 355772,78.56,79.41,l1-l2,Yorktown
USNM 355776,75.11,88.21,L1-L3,Yorktown
USNM 355777,79.52,74.8,a1-a2,Yorktown
USNM 355780,76.35,83.75,a1-a3,Yorktown
USNM 355781,59.02,67.71,l1-l5,Yorktown
USNM 355782,65.48,76.35,A1-A2,Yorktown
USNM 355822,102.13,116.39,A1-A2,Yorktown
USNM 355854,76.16,71.91,a1-a2,Yorktown
USNM 355855,75.2,77.47,a2-a3,Yorktown
USNM 355858,78.71,89.19,l1-l2,Yorktown
USNM 355860,73.73,79.82,A1-A2,Yorktown
USNM 355864,70.49,72.84,a1-a2,Yorktown
USNM 355866,83.59,89.61,L1-L4,Yorktown
USNM 355870,100.65,111.25,L1-L5,Yorktown
USNM 355871,90.14,92.97,A1-A2,Yorktown
USNM 355872,98.78,122,A1-A2,Yorktown
USNM 355874,94.67,91.52,a2-L1,Yorktown
USNM 355880,89.37,88.32,l1-l2,Yorktown
USNM 355885,98.89,108.59,L1-L5,Yorktown
